,Unnamed: 0,O_ID,O_Time,usage,Hour,year
4863662,4863662,2102,2018-07-01 00:00:00,14,00:00:00,2018
4863663,4863663,2102,2018-07-01 01:00:00,5,01:00:00,2018
4863664,4863664,2102,2018-07-01 02:00:00,4,02:00:00,2018
4863665,4863665,2102,2018-07-01 03:00:00,1,03:00:00,2018
4863666,4863666,2102,2018-07-01 04:00:00,1,04:00:00,2018
4863667,4863667,2102,2018-07-01 05:00:00,0,05:00:00,2018
4863668,4863668,2102,2018-07-01 06:00:00,1,06:00:00,2018
4863669,4863669,2102,2018-07-01 07:00:00,0,07:00:00,2018
4863670,4863670,2102,2018-07-01 08:00:00,0,08:00:00,2018
4863671,4863671,2102,2018-07-01 09:00:00,0,09:00:00,2018
4863672,4863672,2102,2018-07-01 10:00:00,0,10:00:00,2018
4863673,4863673,2102,2018-07-01 11:00:00,0,11:00:00,2018
4863674,4863674,2102,2018-07-01 12:00:00,0,12:00:00,2018
4863675,4863675,2102,2018-07-01 13:00:00,0,13:00:00,2018
4863676,4863676,2102,2018-07-01 14:00:00,0,14:00:00,2018
4863677,4863677,2102,2018-07-01 15:00:00,0,15:00:00,2018
4863678,4863678,2102,2018-07-01 16:00:00,1,16:00:00,2018
4863679,4863679,2102,2018-07-01 17:00:00,0,17:00:00,2018
4863680,4863680,2102,2018-07-01 18:00:00,0,18:00:00,2018
4863681,4863681,2102,2018-07-01 19:00:00,0,19:00:00,2018
4863682,4863682,2102,2018-07-01 20:00:00,0,20:00:00,2018
4863683,4863683,2102,2018-07-01 21:00:00,0,21:00:00,2018
4863684,4863684,2102,2018-07-01 22:00:00,0,22:00:00,2018
4863685,4863685,2102,2018-07-01 23:00:00,0,23:00:00,2018
4863686,4863686,2102,2018-07-02 00:00:00,1,00:00:00,2018
4863687,4863687,2102,2018-07-02 01:00:00,0,01:00:00,2018
4863688,4863688,2102,2018-07-02 02:00:00,0,02:00:00,2018
4863689,4863689,2102,2018-07-02 03:00:00,0,03:00:00,2018
4863690,4863690,2102,2018-07-02 04:00:00,1,04:00:00,2018
4863691,4863691,2102,2018-07-02 05:00:00,0,05:00:00,2018
4863692,4863692,2102,2018-07-02 06:00:00,0,06:00:00,2018
4863693,4863693,2102,2018-07-02 07:00:00,0,07:00:00,2018
4863694,4863694,2102,2018-07-02 08:00:00,0,08:00:00,2018
4863695,4863695,2102,2018-07-02 09:00:00,0,09:00:00,2018
4863696,4863696,2102,2018-07-02 10:00:00,0,10:00:00,2018
4863697,4863697,2102,2018-07-02 11:00:00,0,11:00:00,2018
4863698,4863698,2102,2018-07-02 12:00:00,0,12:00:00,2018
4863699,4863699,2102,2018-07-02 13:00:00,3,13:00:00,2018
4863700,4863700,2102,2018-07-02 14:00:00,0,14:00:00,2018
4863701,4863701,2102,2018-07-02 15:00:00,2,15:00:00,2018
4863702,4863702,2102,2018-07-02 16:00:00,5,16:00:00,2018
4863703,4863703,2102,2018-07-02 17:00:00,1,17:00:00,2018
4863704,4863704,2102,2018-07-02 18:00:00,1,18:00:00,2018
4863705,4863705,2102,2018-07-02 19:00:00,0,19:00:00,2018
4863706,4863706,2102,2018-07-02 20:00:00,1,20:00:00,2018
4863707,4863707,2102,2018-07-02 21:00:00,1,21:00:00,2018
4863708,4863708,2102,2018-07-02 22:00:00,1,22:00:00,2018
4863709,4863709,2102,2018-07-02 23:00:00,2,23:00:00,2018
4863710,4863710,2102,2018-07-03 00:00:00,4,00:00:00,2018
4863711,4863711,2102,2018-07-03 01:00:00,1,01:00:00,2018
4863712,4863712,2102,2018-07-03 02:00:00,1,02:00:00,2018
4863713,4863713,2102,2018-07-03 03:00:00,3,03:00:00,2018
4863714,4863714,2102,2018-07-03 04:00:00,1,04:00:00,2018
4863715,4863715,2102,2018-07-03 05:00:00,2,05:00:00,2018
4863716,4863716,2102,2018-07-03 06:00:00,1,06:00:00,2018
4863717,4863717,2102,2018-07-03 07:00:00,1,07:00:00,2018
4863718,4863718,2102,2018-07-03 08:00:00,6,08:00:00,2018
4863719,4863719,2102,2018-07-03 09:00:00,5,09:00:00,2018
4863720,4863720,2102,2018-07-03 10:00:00,3,10:00:00,2018
4863721,4863721,2102,2018-07-03 11:00:00,2,11:00:00,2018
4863722,4863722,2102,2018-07-03 12:00:00,1,12:00:00,2018
4863723,4863723,2102,2018-07-03 13:00:00,2,13:00:00,2018
4863724,4863724,2102,2018-07-03 14:00:00,0,14:00:00,2018
4863725,4863725,2102,2018-07-03 15:00:00,1,15:00:00,2018
4863726,4863726,2102,2018-07-03 16:00:00,7,16:00:00,2018
4863727,4863727,2102,2018-07-03 17:00:00,5,17:00:00,2018
4863728,4863728,2102,2018-07-03 18:00:00,13,18:00:00,2018
4863729,4863729,2102,2018-07-03 19:00:00,20,19:00:00,2018
4863730,4863730,2102,2018-07-03 20:00:00,24,20:00:00,2018
4863731,4863731,2102,2018-07-03 21:00:00,24,21:00:00,2018
4863732,4863732,2102,2018-07-03 22:00:00,22,22:00:00,2018
4863733,4863733,2102,2018-07-03 23:00:00,17,23:00:00,2018
4863734,4863734,2102,2018-07-04 00:00:00,14,00:00:00,2018
4863735,4863735,2102,2018-07-04 01:00:00,7,01:00:00,2018
4863736,4863736,2102,2018-07-04 02:00:00,4,02:00:00,2018
4863737,4863737,2102,2018-07-04 03:00:00,4,03:00:00,2018
4863738,4863738,2102,2018-07-04 04:00:00,2,04:00:00,2018
4863739,4863739,2102,2018-07-04 05:00:00,4,05:00:00,2018
4863740,4863740,2102,2018-07-04 06:00:00,2,06:00:00,2018
4863741,4863741,2102,2018-07-04 07:00:00,2,07:00:00,2018
4863742,4863742,2102,2018-07-04 08:00:00,6,08:00:00,2018
4863743,4863743,2102,2018-07-04 09:00:00,8,09:00:00,2018
4863744,4863744,2102,2018-07-04 10:00:00,1,10:00:00,2018
4863745,4863745,2102,2018-07-04 11:00:00,0,11:00:00,2018
4863746,4863746,2102,2018-07-04 12:00:00,1,12:00:00,2018
4863747,4863747,2102,2018-07-04 13:00:00,6,13:00:00,2018
4863748,4863748,2102,2018-07-04 14:00:00,3,14:00:00,2018
4863749,4863749,2102,2018-07-04 15:00:00,3,15:00:00,2018
4863750,4863750,2102,2018-07-04 16:00:00,1,16:00:00,2018
4863751,4863751,2102,2018-07-04 17:00:00,8,17:00:00,2018
4863752,4863752,2102,2018-07-04 18:00:00,8,18:00:00,2018
4863753,4863753,2102,2018-07-04 19:00:00,21,19:00:00,2018
4863754,4863754,2102,2018-07-04 20:00:00,20,20:00:00,2018
4863755,4863755,2102,2018-07-04 21:00:00,28,21:00:00,2018
4863756,4863756,2102,2018-07-04 22:00:00,18,22:00:00,2018
4863757,4863757,2102,2018-07-04 23:00:00,16,23:00:00,2018
4863758,4863758,2102,2018-07-05 00:00:00,15,00:00:00,2018
4863759,4863759,2102,2018-07-05 01:00:00,17,01:00:00,2018
4863760,4863760,2102,2018-07-05 02:00:00,5,02:00:00,2018
4863761,4863761,2102,2018-07-05 03:00:00,3,03:00:00,2018
4863762,4863762,2102,2018-07-05 04:00:00,3,04:00:00,2018
4863763,4863763,2102,2018-07-05 05:00:00,2,05:00:00,2018
4863764,4863764,2102,2018-07-05 06:00:00,1,06:00:00,2018
4863765,4863765,2102,2018-07-05 07:00:00,1,07:00:00,2018
4863766,4863766,2102,2018-07-05 08:00:00,11,08:00:00,2018
4863767,4863767,2102,2018-07-05 09:00:00,9,09:00:00,2018
4863768,4863768,2102,2018-07-05 10:00:00,2,10:00:00,2018
4863769,4863769,2102,2018-07-05 11:00:00,2,11:00:00,2018
4863770,4863770,2102,2018-07-05 12:00:00,4,12:00:00,2018
4863771,4863771,2102,2018-07-05 13:00:00,0,13:00:00,2018
4863772,4863772,2102,2018-07-05 14:00:00,5,14:00:00,2018
4863773,4863773,2102,2018-07-05 15:00:00,6,15:00:00,2018
4863774,4863774,2102,2018-07-05 16:00:00,5,16:00:00,2018
4863775,4863775,2102,2018-07-05 17:00:00,1,17:00:00,2018
4863776,4863776,2102,2018-07-05 18:00:00,6,18:00:00,2018
4863777,4863777,2102,2018-07-05 19:00:00,15,19:00:00,2018
4863778,4863778,2102,2018-07-05 20:00:00,16,20:00:00,2018
4863779,4863779,2102,2018-07-05 21:00:00,18,21:00:00,2018
4863780,4863780,2102,2018-07-05 22:00:00,24,22:00:00,2018
4863781,4863781,2102,2018-07-05 23:00:00,16,23:00:00,2018
4863782,4863782,2102,2018-07-06 00:00:00,17,00:00:00,2018
4863783,4863783,2102,2018-07-06 01:00:00,3,01:00:00,2018
4863784,4863784,2102,2018-07-06 02:00:00,5,02:00:00,2018
4863785,4863785,2102,2018-07-06 03:00:00,0,03:00:00,2018
4863786,4863786,2102,2018-07-06 04:00:00,0,04:00:00,2018
4863787,4863787,2102,2018-07-06 05:00:00,0,05:00:00,2018
4863788,4863788,2102,2018-07-06 06:00:00,0,06:00:00,2018
4863789,4863789,2102,2018-07-06 07:00:00,0,07:00:00,2018
4863790,4863790,2102,2018-07-06 08:00:00,3,08:00:00,2018
4863791,4863791,2102,2018-07-06 09:00:00,7,09:00:00,2018
4863792,4863792,2102,2018-07-06 10:00:00,2,10:00:00,2018
4863793,4863793,2102,2018-07-06 11:00:00,1,11:00:00,2018
4863794,4863794,2102,2018-07-06 12:00:00,4,12:00:00,2018
4863795,4863795,2102,2018-07-06 13:00:00,6,13:00:00,2018
4863796,4863796,2102,2018-07-06 14:00:00,2,14:00:00,2018
4863797,4863797,2102,2018-07-06 15:00:00,1,15:00:00,2018
4863798,4863798,2102,2018-07-06 16:00:00,6,16:00:00,2018
4863799,4863799,2102,2018-07-06 17:00:00,15,17:00:00,2018
4863800,4863800,2102,2018-07-06 18:00:00,17,18:00:00,2018
4863801,4863801,2102,2018-07-06 19:00:00,19,19:00:00,2018
4863802,4863802,2102,2018-07-06 20:00:00,15,20:00:00,2018
4863803,4863803,2102,2018-07-06 21:00:00,27,21:00:00,2018
4863804,4863804,2102,2018-07-06 22:00:00,15,22:00:00,2018
4863805,4863805,2102,2018-07-06 23:00:00,18,23:00:00,2018
4863806,4863806,2102,2018-07-07 00:00:00,23,00:00:00,2018
4863807,4863807,2102,2018-07-07 01:00:00,17,01:00:00,2018
4863808,4863808,2102,2018-07-07 02:00:00,11,02:00:00,2018
4863809,4863809,2102,2018-07-07 03:00:00,4,03:00:00,2018
4863810,4863810,2102,2018-07-07 04:00:00,2,04:00:00,2018
4863811,4863811,2102,2018-07-07 05:00:00,0,05:00:00,2018
4863812,4863812,2102,2018-07-07 06:00:00,2,06:00:00,2018
4863813,4863813,2102,2018-07-07 07:00:00,1,07:00:00,2018
4863814,4863814,2102,2018-07-07 08:00:00,1,08:00:00,2018
4863815,4863815,2102,2018-07-07 09:00:00,2,09:00:00,2018
4863816,4863816,2102,2018-07-07 10:00:00,4,10:00:00,2018
4863817,4863817,2102,2018-07-07 11:00:00,4,11:00:00,2018
4863818,4863818,2102,2018-07-07 12:00:00,6,12:00:00,2018
4863819,4863819,2102,2018-07-07 13:00:00,6,13:00:00,2018
4863820,4863820,2102,2018-07-07 14:00:00,6,14:00:00,2018
4863821,4863821,2102,2018-07-07 15:00:00,10,15:00:00,2018
4863822,4863822,2102,2018-07-07 16:00:00,7,16:00:00,2018
4863823,4863823,2102,2018-07-07 17:00:00,15,17:00:00,2018
4863824,4863824,2102,2018-07-07 18:00:00,24,18:00:00,2018
4863825,4863825,2102,2018-07-07 19:00:00,18,19:00:00,2018
4863826,4863826,2102,2018-07-07 20:00:00,37,20:00:00,2018
4863827,4863827,2102,2018-07-07 21:00:00,28,21:00:00,2018
4863828,4863828,2102,2018-07-07 22:00:00,18,22:00:00,2018
4863829,4863829,2102,2018-07-07 23:00:00,7,23:00:00,2018
